drift_event_id,control_name,control_type,baseline_value,current_value,change_type,severity,operator_name,operator_email,approver_name,approver_email,change_date,change_reason,status,compliance_impact,is_approved_change,is_ci_cd_change,is_emergency_change,security_rule_score,rule_risk_level,recommended_remediation_commands,ml_risk_score,predicted_risk_level,ml_confidence,anomaly_score,anomaly_flag,anomaly_confidence,priority_score,priority_level,priority_reason,event_type,source,event_id,actor,approver,metadata
DRF00635,Control-67,DLP,enabled=False,enabled=False,Disable,Low,Riya Xu,riya.xu@company.com,Stephen Lopez,stephen.lopez@company.com,2025-04-23 02:01:00,Troubleshooting,Mitigated,CIS,0,0,0,86,HIGH,['restore DLP policy from policy-as-code and redeploy to sensitive data repositories'],54.8,MEDIUM,62.51,0.019,False,59.28,71.07,HIGH,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00847,Control-9,Endpoint,enabled=True,enabled=True,Remove,Critical,Timothy Quinn,timothy.quinn@company.com,Brian Rodriguez,brian.rodriguez@company.com,2025-04-24 09:55:00,Troubleshooting,Compliant,PCI,0,0,0,87,HIGH,['re-enable endpoint protection for the device and initiate a full malware scan'],69.94,HIGH,56.22,0.0395,False,25.81,71.85,HIGH,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00581,Control-1,Access_Control,enabled=False,enabled=False,Remove,Info,Anthony Anderson,anthony.anderson@company.com,Elena Davis,elena.davis@company.com,2025-04-24 11:25:00,Troubleshooting,Mitigated,NIST,0,0,0,0,LOW,[],48.66,MEDIUM,70.08,0.0522,False,5.21,17.81,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00560,Control-48,Data_Protection,enabled=True,enabled=False,Remove,Critical,Larry Sullivan,larry.sullivan@company.com,Larry Lopez,larry.lopez@company.com,2025-04-24 19:48:00,Emergency Fix,Mitigated,PCI,0,0,1,0,LOW,[],85.23,CRITICAL,62.99,0.032,False,38.05,35.54,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00638,Control-55,Network_Segmentation,enabled=False,enabled=True,Enable,Info,Vikram White,vikram.white@company.com,Sofia Miller,sofia.miller@company.com,2025-04-25 11:19:00,Performance Tuning,Mitigated,NONE,0,0,0,0,LOW,[],18.21,LOW,89.99,0.0475,False,12.8,8.29,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00895,Control-65,Logging,enabled=True,enabled=False,Rollback,Critical,Robert Clark,robert.clark@company.com,Amara Anderson,amara.anderson@company.com,2025-04-26 02:00:00,Performance Tuning,Compliant,NONE,0,0,0,0,LOW,[],53.25,MEDIUM,50.07,-0.0081,True,100.0,33.64,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00659,Control-99,Vulnerability,enabled=True,enabled=False,Update,Medium,Timothy Quinn,timothy.quinn@company.com,Sofia Robinson,sofia.robinson@company.com,2025-04-26 06:18:00,Performance Tuning,Mitigated,NIST,0,0,0,0,LOW,[],42.01,MEDIUM,55.78,0.01,False,73.89,25.79,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00561,Control-55,Access_Control,enabled=False,enabled=True,Disable,Critical,Ronald Park,ronald.park@company.com,Anthony Hernandez,anthony.hernandez@company.com,2025-04-26 19:09:00,Troubleshooting,Compliant,NONE,0,0,0,0,LOW,[],72.52,HIGH,43.46,0.0212,False,55.59,33.72,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00718,Control-48,Data_Protection,enabled=False,enabled=False,Disable,Info,Christopher Miller,christopher.miller@company.com,Robert Fischer,robert.fischer@company.com,2025-04-26 20:23:00,Policy Change,Under_Review,GDPR,0,0,0,0,LOW,[],68.06,HIGH,42.4,0.0049,False,82.22,36.15,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00741,Control-62,Firewall,enabled=False,enabled=False,Update,Medium,Karan Sullivan,karan.sullivan@company.com,Vikram Fischer,vikram.fischer@company.com,2025-04-27 13:52:00,Emergency Fix,Mitigated,NIST,0,0,1,0,LOW,[],41.43,MEDIUM,54.62,0.0276,False,45.22,21.28,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00837,Control-32,Vulnerability,enabled=False,enabled=False,Disable,High,Elena Murphy,elena.murphy@company.com,David Gupta,david.gupta@company.com,2025-04-28 13:41:00,Troubleshooting,Under_Review,ISO,0,0,0,0,LOW,[],77.58,HIGH,61.78,0.0283,False,44.09,33.77,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00715,Control-33,Network_Segmentation,enabled=False,enabled=False,Modify,Critical,Fatima Yang,fatima.yang@company.com,Richard Burke,richard.burke@company.com,2025-04-29 04:17:00,Troubleshooting,Drifted,NONE,0,0,0,0,LOW,[],72.6,HIGH,58.85,0.0147,False,66.33,78.0,HIGH,Critical unresolved drift floor applied,,,,,,
DRF00709,Control-35,Encryption,enabled=False,enabled=False,Enable,High,Jonathan Verma,jonathan.verma@company.com,Riya Bhat,riya.bhat@company.com,2025-04-29 13:12:00,Emergency Fix,Compliant,NIST,0,0,1,98,CRITICAL,"['aws kms enable-key-rotation --key-id <key-id>', 'gcloud kms keys update <key-name> --protection-level=hsm']",41.41,MEDIUM,62.5,0.0235,False,51.97,93.0,CRITICAL,Mandatory priority floor applied for Encryption Downgrade,,,,,,
DRF00809,Control-87,Encryption,enabled=False,enabled=True,Modify,Low,Jonathan Sanchez,jonathan.sanchez@company.com,Diya Das,diya.das@company.com,2025-04-30 23:04:00,Performance Tuning,Compliant,NIST,0,0,0,98,CRITICAL,"['aws kms enable-key-rotation --key-id <key-id>', 'gcloud kms keys update <key-name> --protection-level=hsm']",25.7,LOW,72.49,0.0001,False,90.0,93.0,CRITICAL,Mandatory priority floor applied for Encryption Downgrade,,,,,,
DRF00633,Control-67,DLP,enabled=True,enabled=False,Update,High,Elena Garcia,elena.garcia@company.com,Eric Schmidt,eric.schmidt@company.com,2025-04-30 23:23:00,Performance Tuning,Mitigated,GDPR,0,0,0,0,LOW,[],50.3,MEDIUM,58.37,0.019,False,59.22,26.49,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00661,Control-63,Data_Protection,enabled=True,enabled=True,Enable,Low,Kevin Xu,kevin.xu@company.com,Fatima Menon,fatima.menon@company.com,2025-05-01 04:44:00,Troubleshooting,Under_Review,GDPR,0,0,0,0,LOW,[],37.79,MEDIUM,59.12,0.0157,False,64.63,22.92,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00816,Control-95,Cloud_Security,enabled=False,enabled=False,Modify,Critical,Nikhil Schmidt,nikhil.schmidt@company.com,Raja Clark,raja.clark@company.com,2025-05-02 04:00:00,Security Update,Drifted,NIST,1,0,0,0,LOW,[],83.04,CRITICAL,54.39,0.0232,False,52.39,78.0,HIGH,Critical unresolved drift floor applied,,,,,,
DRF00727,Control-20,Cloud_Security,enabled=True,enabled=False,Modify,Medium,Jonathan White,jonathan.white@company.com,Riya Perez,riya.perez@company.com,2025-05-02 11:20:00,Policy Change,Under_Review,CIS,0,0,0,0,LOW,[],56.93,MEDIUM,58.48,0.0532,False,3.54,42.0,MEDIUM,Unresolved medium-severity review floor applied,,,,,,
DRF00534,Control-60,Logging,enabled=False,enabled=False,Enable,Medium,Nikhil Jones,nikhil.jones@company.com,Neha Johnson,neha.johnson@company.com,2025-05-02 20:32:00,Troubleshooting,Drifted,PCI,0,0,0,0,LOW,[],48.08,MEDIUM,69.99,-0.0009,True,91.61,30.57,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00699,Control-98,Access_Control,enabled=True,enabled=True,Remove,High,Charles Das,charles.das@company.com,Fatima Yang,fatima.yang@company.com,2025-05-03 07:21:00,Security Update,Compliant,GDPR,1,0,0,0,LOW,[],63.15,HIGH,43.36,0.0249,False,49.55,29.53,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00605,Control-99,Data_Protection,enabled=False,enabled=True,Enable,Critical,Edward Choi,edward.choi@company.com,Pooja Chen,pooja.chen@company.com,2025-05-03 19:13:00,Policy Change,Under_Review,GDPR,0,0,0,0,LOW,[],65.73,HIGH,59.77,0.0259,False,48.02,30.21,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00806,Control-60,Cloud_Security,enabled=True,enabled=True,Disable,Info,Paul Hernandez,paul.hernandez@company.com,Neha Burke,neha.burke@company.com,2025-05-03 22:28:00,Troubleshooting,Mitigated,NIST,0,0,0,88,HIGH,['restore cloud guardrail policy in policy-as-code and redeploy the policy template'],53.35,MEDIUM,53.42,0.0094,False,74.9,73.91,HIGH,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00898,Control-48,Firewall,enabled=True,enabled=False,Update,Low,Edward Sullivan,edward.sullivan@company.com,Shruti Menon,shruti.menon@company.com,2025-05-04 18:45:00,Policy Change,Under_Review,CIS,0,0,0,0,LOW,[],42.47,MEDIUM,70.44,0.0219,False,54.53,23.04,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00924,Control-61,Access_Control,enabled=False,enabled=False,Remove,Info,Deepika He,deepika.he@company.com,Andrew Nair,andrew.nair@company.com,2025-05-05 15:11:00,Performance Tuning,Under_Review,NONE,0,0,0,0,LOW,[],53.47,MEDIUM,49.07,0.0346,False,33.87,23.79,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00862,Control-75,Endpoint,enabled=False,enabled=False,Disable,Info,Harsh Verma,harsh.verma@company.com,Eric Choi,eric.choi@company.com,2025-05-06 19:51:00,Policy Change,Compliant,NIST,0,0,0,87,HIGH,['re-enable endpoint protection for the device and initiate a full malware scan'],36.52,LOW,45.91,0.0254,False,48.88,63.61,MEDIUM,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00698,Control-64,Vulnerability,enabled=True,enabled=False,Disable,Medium,Joseph Reilly,joseph.reilly@company.com,Diya Wagner,diya.wagner@company.com,2025-05-08 00:36:00,Policy Change,Compliant,GDPR,0,0,0,0,LOW,[],55.27,MEDIUM,45.85,0.015,False,65.83,29.22,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00555,Control-25,Logging,enabled=False,enabled=False,Rollback,Low,Fatima Gonzalez,fatima.gonzalez@company.com,David Hwang,david.hwang@company.com,2025-05-08 05:54:00,Performance Tuning,Drifted,CIS,0,0,0,0,LOW,[],45.15,MEDIUM,73.44,0.0164,False,63.45,25.32,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00587,Control-21,Network_Segmentation,enabled=True,enabled=True,Modify,Medium,Priya Schneider,priya.schneider@company.com,Christopher Reilly,christopher.reilly@company.com,2025-05-09 00:32:00,Emergency Fix,Compliant,PCI,0,0,1,0,LOW,[],44.91,MEDIUM,57.37,0.0036,False,84.28,28.36,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00848,Control-6,DLP,enabled=False,enabled=False,Modify,Medium,Elena Thomas,elena.thomas@company.com,Timothy Murphy,timothy.murphy@company.com,2025-05-09 02:08:00,Performance Tuning,Remediated,ISO,0,0,0,0,LOW,[],44.04,MEDIUM,61.49,-0.0095,True,100.0,30.41,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00675,Control-4,Data_Protection,enabled=False,enabled=False,Update,Critical,Thomas Hernandez,thomas.hernandez@company.com,Amara Clark,amara.clark@company.com,2025-05-09 20:43:00,Troubleshooting,Remediated,GDPR,0,0,0,0,LOW,[],48.55,MEDIUM,53.91,0.0199,False,57.86,25.67,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00773,Control-70,Encryption,enabled=True,enabled=True,Update,Medium,Nicholas Martinez,nicholas.martinez@company.com,Matthew Park,matthew.park@company.com,2025-05-10 19:19:00,Security Update,Remediated,CIS,1,0,0,0,LOW,[],32.45,LOW,53.96,0.0209,False,56.17,19.78,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00645,Control-8,Logging,enabled=False,enabled=True,Rollback,Low,Sophia Reilly,sophia.reilly@company.com,Shruti Taylor,shruti.taylor@company.com,2025-05-11 12:45:00,Troubleshooting,Mitigated,NIST,0,0,0,0,LOW,[],35.23,MEDIUM,52.12,0.0182,False,60.52,21.41,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00513,Control-21,Data_Protection,enabled=False,enabled=False,Remove,Low,Christopher Lim,christopher.lim@company.com,Aisha Schmidt,aisha.schmidt@company.com,2025-05-11 21:01:00,Policy Change,Remediated,GDPR,0,0,0,0,LOW,[],51.0,MEDIUM,47.76,0.0013,False,88.11,31.07,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00526,Control-45,Vulnerability,enabled=False,enabled=True,Rollback,Info,Kenneth Lewis,kenneth.lewis@company.com,Michael Smith,michael.smith@company.com,2025-05-11 21:53:00,Policy Change,Under_Review,CIS,0,0,0,0,LOW,[],43.21,MEDIUM,62.22,-0.0017,True,92.94,29.06,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00728,Control-81,Cloud_Security,enabled=True,enabled=True,Remove,High,Charles Hernandez,charles.hernandez@company.com,Brian Harris,brian.harris@company.com,2025-05-12 11:58:00,Policy Change,Under_Review,NIST,0,0,0,88,HIGH,['restore cloud guardrail policy in policy-as-code and redeploy the policy template'],90.11,CRITICAL,72.89,0.0554,False,0.0,75.54,HIGH,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00789,Control-95,Cloud_Security,enabled=True,enabled=False,Disable,High,Paul Patel,paul.patel@company.com,Steven Xu,steven.xu@company.com,2025-05-12 14:18:00,Policy Change,Compliant,CIS,0,0,0,88,HIGH,['restore cloud guardrail policy in policy-as-code and redeploy the policy template'],70.66,HIGH,58.56,0.039,False,26.66,72.73,HIGH,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00763,Control-93,DLP,enabled=False,enabled=False,Update,High,Sofia Guo,sofia.guo@company.com,Leila Lim,leila.lim@company.com,2025-05-13 05:16:00,Policy Change,Remediated,NIST,0,0,0,0,LOW,[],45.33,MEDIUM,63.71,0.0245,False,50.3,23.41,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00948,Control-56,Access_Control,enabled=False,enabled=True,Remove,Info,Anthony Fischer,anthony.fischer@company.com,Pooja Verma,pooja.verma@company.com,2025-05-13 08:48:00,Policy Change,Compliant,NIST,0,0,0,0,LOW,[],39.39,MEDIUM,54.32,0.0529,False,4.02,14.39,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00761,Control-1,Vulnerability,enabled=False,enabled=False,Modify,Critical,Sanjana Davis,sanjana.davis@company.com,Karan Martinez,karan.martinez@company.com,2025-05-13 08:55:00,Troubleshooting,Remediated,NONE,0,0,0,0,LOW,[],49.81,MEDIUM,53.59,0.0503,False,8.3,18.68,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00721,Control-42,Firewall,enabled=True,enabled=False,Modify,Low,Ryan Li,ryan.li@company.com,Ryan Huang,ryan.huang@company.com,2025-05-13 12:43:00,Security Update,Compliant,NIST,1,0,0,0,LOW,[],21.29,LOW,82.29,0.0435,False,19.33,10.35,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00977,Control-71,Firewall,enabled=False,enabled=False,Enable,Low,Priya Han,priya.han@company.com,Zainab Hwang,zainab.hwang@company.com,2025-05-13 16:26:00,Performance Tuning,Under_Review,NONE,0,0,0,0,LOW,[],30.19,LOW,54.87,0.0394,False,25.99,14.46,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00632,Control-89,Encryption,enabled=True,enabled=True,Update,Low,Shruti Han,shruti.han@company.com,Maria Jones,maria.jones@company.com,2025-05-13 16:33:00,Troubleshooting,Drifted,GDPR,0,0,0,0,LOW,[],45.16,MEDIUM,72.3,0.0311,False,39.48,21.73,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00600,Control-89,Encryption,enabled=True,enabled=True,Update,Info,Joshua Meyer,joshua.meyer@company.com,Andrew Mishra,andrew.mishra@company.com,2025-05-14 15:56:00,Emergency Fix,Mitigated,CIS,0,0,1,0,LOW,[],23.34,LOW,76.21,0.0498,False,9.02,9.52,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00881,Control-77,Data_Protection,enabled=True,enabled=True,Update,Low,Richard Chen,richard.chen@company.com,Steven Kumar,steven.kumar@company.com,2025-05-15 00:01:00,Performance Tuning,Drifted,CIS,0,0,0,0,LOW,[],46.37,MEDIUM,69.06,0.0239,False,51.23,23.91,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00689,Control-85,Vulnerability,enabled=False,enabled=True,Update,Medium,Priya Kumar,priya.kumar@company.com,Richard Huang,richard.huang@company.com,2025-05-15 12:36:00,Policy Change,Compliant,ISO,0,0,0,0,LOW,[],27.26,LOW,62.45,0.0554,False,0.0,9.54,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00649,Control-35,Data_Protection,enabled=False,enabled=False,Remove,Medium,Richard Sullivan,richard.sullivan@company.com,Harsh Muller,harsh.muller@company.com,2025-05-15 14:38:00,Security Update,Drifted,CIS,1,0,0,0,LOW,[],73.28,HIGH,65.82,0.0435,False,19.33,28.55,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00662,Control-35,Logging,enabled=True,enabled=False,Update,Low,Isha Martinez,isha.martinez@company.com,Harsh Quinn,harsh.quinn@company.com,2025-05-15 17:12:00,Emergency Fix,Remediated,PCI,0,0,1,0,LOW,[],20.32,LOW,84.83,0.0388,False,27.01,11.16,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00855,Control-32,Cloud_Security,enabled=True,enabled=False,Modify,Low,Donald Becker,donald.becker@company.com,Richard Moore,richard.moore@company.com,2025-05-17 04:43:00,Security Update,Remediated,NONE,1,0,0,0,LOW,[],27.19,LOW,67.77,0.0096,False,74.62,20.71,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00759,Control-44,Data_Protection,enabled=False,enabled=False,Rollback,Medium,Gary Muller,gary.muller@company.com,William Reilly,william.reilly@company.com,2025-05-17 06:50:00,Performance Tuning,Remediated,NONE,0,0,0,0,LOW,[],38.06,MEDIUM,60.61,0.0163,False,63.66,22.87,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00879,Control-39,Network_Segmentation,enabled=False,enabled=True,Enable,Low,Zainab Quinn,zainab.quinn@company.com,Nicholas Patel,nicholas.patel@company.com,2025-05-18 08:22:00,Policy Change,Remediated,CIS,0,0,0,0,LOW,[],21.87,LOW,78.91,0.0307,False,40.19,13.68,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00614,Control-56,DLP,enabled=False,enabled=True,Rollback,Low,Christopher Schmidt,christopher.schmidt@company.com,Aisha Kim,aisha.kim@company.com,2025-05-18 15:44:00,Performance Tuning,Mitigated,ISO,0,0,0,0,LOW,[],33.64,LOW,47.05,-0.0036,True,96.03,26.18,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00615,Control-70,Data_Protection,enabled=False,enabled=False,Update,High,Joshua Taylor,joshua.taylor@company.com,Edward Williams,edward.williams@company.com,2025-05-18 20:43:00,Emergency Fix,Drifted,ISO,0,0,1,0,LOW,[],66.44,HIGH,49.88,-0.0109,True,100.0,38.25,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00586,Control-53,Access_Control,enabled=True,enabled=False,Disable,Medium,Sophia Williams,sophia.williams@company.com,Zainab Patel,zainab.patel@company.com,2025-05-19 00:38:00,Security Update,Compliant,PCI,1,0,0,0,LOW,[],58.11,HIGH,40.49,0.0074,False,78.13,32.06,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00788,Control-84,Logging,enabled=True,enabled=True,Modify,High,Nikhil Guo,nikhil.guo@company.com,Thomas Wang,thomas.wang@company.com,2025-05-19 08:44:00,Security Update,Remediated,NONE,1,0,0,0,LOW,[],33.95,LOW,49.51,0.0293,False,42.47,18.25,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00760,Control-4,DLP,enabled=False,enabled=False,Update,High,Matthew Robinson,matthew.robinson@company.com,Edward Liu,edward.liu@company.com,2025-05-20 00:51:00,Security Update,Mitigated,NIST,1,0,0,0,LOW,[],46.14,MEDIUM,50.66,0.0138,False,67.66,26.3,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00640,Control-13,Vulnerability,enabled=True,enabled=True,Disable,High,Diya Verma,diya.verma@company.com,Pooja Schneider,pooja.schneider@company.com,2025-05-21 08:26:00,Emergency Fix,Under_Review,ISO,0,0,1,0,LOW,[],78.77,HIGH,61.3,0.0384,False,27.59,31.71,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00694,Control-67,Data_Protection,enabled=True,enabled=False,Enable,Low,Raja Anderson,raja.anderson@company.com,Sofia Sharma,sofia.sharma@company.com,2025-05-22 09:34:00,Performance Tuning,Drifted,GDPR,0,0,0,0,LOW,[],38.96,MEDIUM,54.44,0.0513,False,6.62,14.63,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00891,Control-53,Vulnerability,enabled=False,enabled=True,Rollback,Critical,Charles Muller,charles.muller@company.com,Robert O'Brien,robert.o'brien@company.com,2025-05-23 11:57:00,Emergency Fix,Compliant,PCI,0,0,1,0,LOW,[],50.78,MEDIUM,64.43,0.039,False,26.65,21.77,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00971,Control-16,Cloud_Security,enabled=True,enabled=False,Rollback,Low,Matthew Sanchez,matthew.sanchez@company.com,Nicholas Miller,nicholas.miller@company.com,2025-05-24 12:10:00,Policy Change,Remediated,GDPR,0,0,0,0,LOW,[],25.31,LOW,72.75,0.0468,False,13.88,10.94,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00960,Control-50,Access_Control,enabled=True,enabled=True,Modify,High,Larry Lee,larry.lee@company.com,Timothy Wilson,timothy.wilson@company.com,2025-05-25 13:01:00,Policy Change,Under_Review,CIS,0,0,0,0,LOW,[],71.4,HIGH,53.34,0.0192,False,58.87,33.82,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
DRF00663,Control-30,Logging,enabled=False,enabled=False,Remove,Critical,Arjun Garcia,arjun.garcia@company.com,Akshay Perez,akshay.perez@company.com,2025-05-26 11:16:00,Troubleshooting,Compliant,GDPR,0,0,0,97,CRITICAL,"['aws logs put-retention-policy --log-group-name <group> --retention-in-days 365', 'az monitor diagnostic-settings create --name <setting> --resource <resource-id>']",69.14,HIGH,50.17,0.0437,False,19.08,92.0,CRITICAL,Mandatory priority floor applied for Audit Logging Disabled,,,,,,
DRF00573,Control-65,Endpoint,enabled=True,enabled=False,Modify,Info,Jacob Sharma,jacob.sharma@company.com,Kevin Han,kevin.han@company.com,2025-05-28 12:23:00,Security Update,Compliant,NONE,1,0,0,0,LOW,[],19.22,LOW,87.03,0.0328,False,36.81,12.25,LOW,"Weighted rule, ML risk, and behavioral anomaly signals",,,,,,
